"","V1","V2"
"697","1553226_at","LINC00052"
"698","1553227_s_at","BRWD1"
"699","1553228_at","CCDC89"
"700","1553229_at","ZNF572"
"701","1553232_at","RMDN2"
"702","1553234_at","ADAMTS18"
"703","1553235_at","PCDHAC1"
"704","1553237_x_at","PCDHAC1"
"705","1553238_a_at","HIPK4"
"706","1553239_at","FAM124A"
"707","1553241_at","NKAIN3"
"708","1553243_at","ITIH5"
"709","1553244_at","FANCB"
"710","1553246_a_at","POMK"
"711","1553247_a_at","ZNF709"
"712","1553248_at","CCDC57"
"713","1553249_at","SMC1B"
"714","1553252_a_at","BRWD3"
"715","1553253_at","ASB16"
"716","1553254_at","MAGEE2"
"717","1553255_at","ERVV-1"
"718","1553257_at","GAL3ST3"
"719","1553258_at","FLJ30679"
"720","1553260_s_at","ALS2CR11"
"721","1553261_x_at","ALS2CR11"
"722","1553262_a_at","UTS2R"
"723","1553263_at","USH1G"
"724","1553264_a_at","SYN1"
"725","1553265_at","SLC23A3"
"726","1553266_at","CNOT6L"
"727","1553267_a_at","CNOT6L"
"728","1553268_at","RHBDL3"
"729","1553269_at","ZNF718"
"730","1553271_at","DIP2B"
"731","1553272_at","SLC36A1"
"732","1553274_a_at","SNRNP48"
"733","1553275_s_at","ANKRD52"
"734","1553276_at","ZNF560"
"735","1553277_at","RTTN"
"736","1553279_at","BTNL9"
"737","1553280_at","PUS10"
"738","1553281_at","PLCXD2"
"739","1553282_at","UMODL1-AS1"
"740","1553284_s_at","LMLN"
"741","1553285_s_at","RAD9B"
"742","1553286_at","ZNF555"
"743","1553288_a_at","NYAP1"
"744","1553292_s_at","SGK494"
"745","1553293_at","MRGPRX3"
"746","1553295_at","ABCA13"
"747","1553296_at","ADGRG7"
"748","1553297_a_at","CSF3R"
"749","1553298_at","C17orf77"
"750","1553299_at","DUSP5P1 /// LOC105373132"
"751","1553300_a_at","DGKH"
"752","1553301_a_at","TMEM182"
"753","1553303_at","C16orf46"
"754","1553304_at","LSM14B"
"755","1553306_at","CASP8"
"756","1553310_at","PLB1"
"757","1553311_at","C20orf197"
"758","1553313_s_at","SLC5A3"
